SDK_name,weight,develop_file,aar_jar_path,remarks,
cn.appmedia.ad,2,/,appmedia,Not support,
com.adwhirl,2,https://aminulislam.net/adwhirl-integration-in-android-using-xml-layout/,adwhirl,Not support,
com.dianjoy,2,/,dian,Not support,
com.inneractive.api,2,/,inneractive,Not support,
com.personagraph,2,/,personagraph,Not support,
com.adwo.adsdk,2,/,adwo,Not support,
com.citygrid.ads,2,https://citygridmedia.atlassian.net/wiki/spaces/citygridv2/pages/4980743/Mobile+Ads+API,citygrid,Ad Networks,
com.octobird.advertising,2,/,octobird,Not support,
com.openx,1,/,openx,Not support,
tv.freewheel,1,/,freewheel,Not support,
com.applift,1,/,applift,Not support,
com.adiquity.android,1,/,adiquity,Not support,
jp.gmotech.smaad,1,/,smaad,Not support,
vn.amobi.util,1,/,amobi,Not support,
net.miidi.ad,1,/,miidi,Not support,
cn.waps,1,https://blog.csdn.net/hailangjava/article/details/8860240,waps,Not support,
com.adchina.android,1,/,adchina,Not support,
com.admogo,1,/,admogo,Not support,
com.adgatemedia.sdk,0,https://github.com/adgatemedia/adgate-rewards-android-sdk,adgatemedia,Ad Networks,
com.wiyun.ad,,/,wiyun,Not support,
ad.fractalist.android,,/,fractalist,Not support,
com.wooboo.adlib_android,,https://blog.csdn.net/javaliao/article/details/83700695,wooboo,Not support,
com.energysource.szj,,/,energysource,Not support,
cn.aduu.android,,/,aduu,Not support,
com.mt.airad,,/,airad,Not support,
com.greystripe.android,,/,greystripe,Not support,
com.immob.sdk,,/,immob,Not support,
com.l.adlib_android,,/,lad,Not support,
com.mocoplex.adlib,,https://github.com/nhn/adlib.android_media_app,mocoplex,Advertising Network Integration Platform,
com.mdotm.android,,https://github.com/MdotMAds/Android-SDK/wiki,mdotm,Ad Networks,
com.donson.momark,,/,momark,Not support,
com.ignitevision.android,,/,ignitevision,Not support,
com.wqmobile.sdk,,/,wqmobile,Not support,
com.suizong.mobile,,/,suizong,Not support,
com.iflytek.voiceads,,https://blog.csdn.net/JustinNick/article/details/78461815,iflytek,Ad Networks,
com.fsn.cauly,,https://github.com/cauly/Android-SDK/blob/master/Android%20SDK%20%EC%97%B0%EB%8F%99%20%EA%B0%80%EC%9D%B4%EB%93%9C.md,cauly,Ad Networks,
com.mobon.sdk,,https://github.com/mobon/MobonSDK_Sample2,mobon,Ad Networks,
com.coupang.ads,,coupang/coupang_Development.pdf,coupang,Ad Networks,
com.mezzomedia.man,,http://docs.meba.kr/s-plus/sdk/android_v2/en/,mezzomedia,Ad Networks,
com.naver.gfpsdk,,https://naver.github.io/nam-sdk-guide/android/integrate/,naver,Ad Networks,
com.flurry.android,,https://developer.yahoo.com/flurry/docs/integrateflurry/android/,flurry,"Ad Networks, supported by Yahoo",
com.vpon.ads,,http://wiki.vpon.com/android/integration-guide/,vpon,Ad Networks,
net.zucks,,https://ms.zucksadnetwork.com/media/sdk/manual/android/,zucks,Ad Networks,
com.bingzer.android.ads,,/,bingzer,Advertising Network Integration Platform,
co.adcel.android,,https://adcel.co/docs/android,adcel,Ad Networks,
com.vuukle,,https://docs.vuukle.com/how-to-integrate-vuukle-sdk-into-your-android-app/,vuukle,Ad Networks,
com.appier,,https://docs.aps.appier.com/docs/sdk,appier,Ad Networks,
com.iadpush.adp,,/,iadpush,Ad Networks,
com.winad.android,,https://blog.csdn.net/sunshine_mood/article/details/50359511,winad,Not support,
com.izp.views,,/,izp,Not support,
com.kuguo.ad,,/,kuguo,Not support,
com.dianru,,/,dianru,Not support,
com.nd.dianjin,,/,dianjin,Not support,
com.snowfish.cn,,/,snowfish,Not support,
cn.casee,,/,casee,Not support,
com.newqm.sdkoffer,,/,qumi,Not support,
com.dangbei,,https://dev.znds.com/euthenia/v324/guide.html#123-%E4%BF%AE%E6%94%B9androidmanifestxml,dangbei,Ad Networks,
